日本語,英語,キー
竹のイカダ,Bamboo Raft,item.minecraft.bamboo_raft
コウモリのスポーンエッグ,Bat Spawn Egg,item.minecraft.bat_spawn_egg
ミツバチのスポーンエッグ,Bee Spawn Egg,item.minecraft.bee_spawn_egg
生の牛肉,Raw Beef,item.minecraft.beef
ビートルート,Beetroot,item.minecraft.beetroot
ビートルートの種,Beetroot Seeds,item.minecraft.beetroot_seeds
ビートルートスープ,Beetroot Soup,item.minecraft.beetroot_soup
シラカバのボート,Birch Boat,item.minecraft.birch_boat
チェスト付きのシラカバのボート,Birch Boat with Chest,item.minecraft.birch_chest_boat
黒色の染料,Black Dye,item.minecraft.black_dye
剣の壺の欠片,Blade Pottery Shard,item.minecraft.blade_pottery_shard
剣の壺の欠片,Blade Pottery Sherd,item.minecraft.blade_pottery_sherd
ブレイズパウダー,Blaze Powder,item.minecraft.blaze_powder
ブレイズロッド,Blaze Rod,item.minecraft.blaze_rod
ブレイズのスポーンエッグ,Blaze Spawn Egg,item.minecraft.blaze_spawn_egg
青色の染料,Blue Dye,item.minecraft.blue_dye
ボグドのスポーンエッグ,Bogged Spawn Egg,item.minecraft.bogged_spawn_egg
鍛冶型,Smithing Template,item.minecraft.bolt_armor_trim_smithing_template
骨,Bone,item.minecraft.bone
骨粉,Bone Meal,item.minecraft.bone_meal
本,Book,item.minecraft.book
弓,Bow,item.minecraft.bow
ボウル,Bowl,item.minecraft.bowl
パン,Bread,item.minecraft.bread
ブリーズロッド,Breeze Rod,item.minecraft.breeze_rod
ブリーズのスポーンエッグ,Breeze Spawn Egg,item.minecraft.breeze_spawn_egg
醸造家の壺の欠片,Brewer Pottery Shard,item.minecraft.brewer_pottery_shard
醸造家の壺の欠片,Brewer Pottery Sherd,item.minecraft.brewer_pottery_sherd
醸造台,Brewing Stand,item.minecraft.brewing_stand
レンガ,Brick,item.minecraft.brick
茶色の染料,Brown Dye,item.minecraft.brown_dye
ブラシ,Brush,item.minecraft.brush
バケツ,Bucket,item.minecraft.bucket
バンドル,Bundle,item.minecraft.bundle
%s／%s,%s/%s,item.minecraft.bundle.fullness
炎の壺の欠片,Burn Pottery Shard,item.minecraft.burn_pottery_shard
炎の壺の欠片,Burn Pottery Sherd,item.minecraft.burn_pottery_sherd
ラクダのスポーンエッグ,Camel Spawn Egg,item.minecraft.camel_spawn_egg
ニンジン,Carrot,item.minecraft.carrot
ニンジン付きの棒,Carrot on a Stick,item.minecraft.carrot_on_a_stick
ネコのスポーンエッグ,Cat Spawn Egg,item.minecraft.cat_spawn_egg
大釜,Cauldron,item.minecraft.cauldron
洞窟グモのスポーンエッグ,Cave Spider Spawn Egg,item.minecraft.cave_spider_spawn_egg
チェーンのブーツ,Chainmail Boots,item.minecraft.chainmail_boots
チェーンのチェストプレート,Chainmail Chestplate,item.minecraft.chainmail_chestplate
チェーンのヘルメット,Chainmail Helmet,item.minecraft.chainmail_helmet
チェーンのレギンス,Chainmail Leggings,item.minecraft.chainmail_leggings
木炭,Charcoal,item.minecraft.charcoal
サクラのボート,Cherry Boat,item.minecraft.cherry_boat
チェスト付きのサクラのボート,Cherry Boat with Chest,item.minecraft.cherry_chest_boat
チェスト付きのトロッコ,Minecart with Chest,item.minecraft.chest_minecart
生の鶏肉,Raw Chicken,item.minecraft.chicken
ニワトリのスポーンエッグ,Chicken Spawn Egg,item.minecraft.chicken_spawn_egg
コーラスフルーツ,Chorus Fruit,item.minecraft.chorus_fruit
粘土玉,Clay Ball,item.minecraft.clay_ball
時計,Clock,item.minecraft.clock
石炭,Coal,item.minecraft.coal
鍛冶型,Smithing Template,item.minecraft.coast_armor_trim_smithing_template
カカオ豆,Cocoa Beans,item.minecraft.cocoa_beans
生鱈,Raw Cod,item.minecraft.cod
タラ入りバケツ,Bucket of Cod,item.minecraft.cod_bucket
タラのスポーンエッグ,Cod Spawn Egg,item.minecraft.cod_spawn_egg
コマンドブロック付きのトロッコ,Minecart with Command Block,item.minecraft.command_block_minecart
コンパス,Compass,item.minecraft.compass
ステーキ,Steak,item.minecraft.cooked_beef
焼き鳥,Cooked Chicken,item.minecraft.cooked_chicken
焼き鱈,Cooked Cod,item.minecraft.cooked_cod
焼き羊肉,Cooked Mutton,item.minecraft.cooked_mutton
焼き豚,Cooked Porkchop,item.minecraft.cooked_porkchop
焼き兎肉,Cooked Rabbit,item.minecraft.cooked_rabbit
焼き鮭,Cooked Salmon,item.minecraft.cooked_salmon
クッキー,Cookie,item.minecraft.cookie
銅インゴット,Copper Ingot,item.minecraft.copper_ingot
ウシのスポーンエッグ,Cow Spawn Egg,item.minecraft.cow_spawn_egg
旗の模様,Banner Pattern,item.minecraft.creeper_banner_pattern
クリーパー模様,Creeper Charge,item.minecraft.creeper_banner_pattern.desc
クリーパーのスポーンエッグ,Creeper Spawn Egg,item.minecraft.creeper_spawn_egg
クロスボウ,Crossbow,item.minecraft.crossbow
発射物：,Projectile:,item.minecraft.crossbow.projectile
青緑色の染料,Cyan Dye,item.minecraft.cyan_dye
脅威の壺の欠片,Danger Pottery Shard,item.minecraft.danger_pottery_shard
脅威の壺の欠片,Danger Pottery Sherd,item.minecraft.danger_pottery_sherd
ダークオークのボート,Dark Oak Boat,item.minecraft.dark_oak_boat
チェスト付きのダークオークのボート,Dark Oak Boat with Chest,item.minecraft.dark_oak_chest_boat
デバッグ棒,Debug Stick,item.minecraft.debug_stick
%sはプロパティを持っていません,%s has no properties,item.minecraft.debug_stick.empty
「%s」を選択しました（%s）,"selected \""%s\"" (%s)",item.minecraft.debug_stick.select
「%s」を%sに変更しました,"\""%s\"" to %s",item.minecraft.debug_stick.update
ダイヤモンド,Diamond,item.minecraft.diamond
ダイヤモンドの斧,Diamond Axe,item.minecraft.diamond_axe
ダイヤモンドのブーツ,Diamond Boots,item.minecraft.diamond_boots
ダイヤモンドのチェストプレート,Diamond Chestplate,item.minecraft.diamond_chestplate
ダイヤモンドのヘルメット,Diamond Helmet,item.minecraft.diamond_helmet
ダイヤモンドのクワ,Diamond Hoe,item.minecraft.diamond_hoe
ダイヤモンドの馬鎧,Diamond Horse Armor,item.minecraft.diamond_horse_armor
ダイヤモンドのレギンス,Diamond Leggings,item.minecraft.diamond_leggings
ダイヤモンドのツルハシ,Diamond Pickaxe,item.minecraft.diamond_pickaxe
ダイヤモンドのシャベル,Diamond Shovel,item.minecraft.diamond_shovel
ダイヤモンドの剣,Diamond Sword,item.minecraft.diamond_sword
レコードの破片,Disc Fragment,item.minecraft.disc_fragment_5
レコード - 5,Music Disc - 5,item.minecraft.disc_fragment_5.desc
イルカのスポーンエッグ,Dolphin Spawn Egg,item.minecraft.dolphin_spawn_egg
ロバのスポーンエッグ,Donkey Spawn Egg,item.minecraft.donkey_spawn_egg
ドラゴンブレス,Dragon's Breath,item.minecraft.dragon_breath
乾燥した昆布,Dried Kelp,item.minecraft.dried_kelp
ドラウンドのスポーンエッグ,Drowned Spawn Egg,item.minecraft.drowned_spawn_egg
鍛冶型,Smithing Template,item.minecraft.dune_armor_trim_smithing_template
残響の欠片,Echo Shard,item.minecraft.echo_shard
卵,Egg,item.minecraft.egg
エルダーガーディアンのスポーンエッグ,Elder Guardian Spawn Egg,item.minecraft.elder_guardian_spawn_egg
エリトラ,Elytra,item.minecraft.elytra
エメラルド,Emerald,item.minecraft.emerald
エンチャントの本,Enchanted Book,item.minecraft.enchanted_book
エンチャントされた金のリンゴ,Enchanted Golden Apple,item.minecraft.enchanted_golden_apple
エンドクリスタル,End Crystal,item.minecraft.end_crystal
エンダードラゴンのスポーンエッグ,Ender Dragon Spawn Egg,item.minecraft.ender_dragon_spawn_egg
エンダーアイ,Eye of Ender,item.minecraft.ender_eye
エンダーパール,Ender Pearl,item.minecraft.ender_pearl
エンダーマンのスポーンエッグ,Enderman Spawn Egg,item.minecraft.enderman_spawn_egg
エンダーマイトのスポーンエッグ,Endermite Spawn Egg,item.minecraft.endermite_spawn_egg
エヴォーカーのスポーンエッグ,Evoker Spawn Egg,item.minecraft.evoker_spawn_egg
